date,exposed_median,exposed_lower,exposed_upper,infectious_median,infectious_lower,infectious_upper,dead_median,dead_lower,dead_upper,total_cumulative_median,total_cumulative_lower,total_cumulative_upper
2026-05-18,384.1117528896215,172.13769538780465,634.7820487864883,369.8294430212071,279.86255895343965,427.61558073802144,131,131,131,675.2577319589138,675.2577319567484,675.2577319601044
2026-05-19,385.99000733343087,167.5066744903383,652.8358009003401,371.39264973496165,281.3485602062995,438.0386683389239,148.0123190904672,138.97609904141564,166.78895357605833,718.996178633734,700.0209377761197,755.9161183555983
2026-05-20,387.52146111791,164.87273978109644,668.3339990986221,372.19231519876973,281.62349235921573,451.9591661879422,165.27766969996128,147.2652162055343,200.7984799344539,763.0155575312735,725.0810745245326,835.455313130775
2026-05-21,390.1781522280895,163.61123063830192,683.1261655255224,374.10340274016517,281.5751502049639,465.0608432834764,182.68746302028867,155.8099915816202,234.00288553920086,807.2995019524599,750.2531762308366,914.3429669241251
2026-05-22,392.813747260301,162.85040366282007,693.2606427984091,376.68081625412185,281.0089979775744,477.108577879072,200.38206587665718,164.50043775095813,267.08492003635075,851.9852636315497,775.8303105024685,993.085694033897
2026-05-23,395.202117728679,162.40273209523914,704.9029318043747,379.30203961121407,280.65178553271454,487.7776637785389,218.1094972636571,173.5293436196041,299.3218539504062,896.9483548897123,801.7032932013957,1072.507063480058
2026-05-24,399.01393994936257,162.57184218003198,714.9825557351211,383.0989401273812,281.0111490140072,498.41793869672296,235.9947199368142,182.7259622891518,331.78539656127026,942.4267203498821,827.5542175856109,1152.1420532161806
2026-05-25,401.98368976362974,162.81792921190052,725.0539215446767,386.8248276807334,281.61831940575445,508.8173379716305,253.83307967368756,192.05373669462472,364.3433809266931,988.1058281167614,853.148536687094,1232.3577928614716
2026-05-26,406.03483246287044,163.8443000553823,736.3719520424766,390.60831118928445,282.6912671136918,518.2677668601968,272.00262357787733,201.54358098635734,397.1109791633123,1034.312412299696,879.3781513297164,1314.629468733014
2026-05-27,409.43935948729086,164.86339413592734,746.7063270660199,394.41753311379716,283.9699330582197,527.6775465346954,290.07140367552097,211.15335265928724,429.58403357059143,1080.7762353904898,905.4265666719992,1397.788742007947
2026-05-28,413.77854582546104,165.97678856893444,758.1198174870706,398.82358669858445,285.34481636529904,537.4169937426101,308.58333041303524,220.84230533725915,463.45602852767024,1127.5835283880947,931.8487092123297,1483.3469105982372
2026-05-29,418.12380141099425,166.90574774475854,768.4042857524366,402.9690400110772,287.1118482353748,546.5259826252897,327.3388030398762,230.75855543932448,498.42455033833113,1174.836624155073,958.6753502219752,1569.1730636156556
